day,startTime,endTime,title,location
Friday: April 6,2018-04-06 19:00:00,2018-04-06 21:00:00,Registration,Chumash
Friday: April 6,2018-04-06 19:30:00,2018-04-06 21:15:00,Dinner,Chumash
Friday: April 6,2018-04-06 20:00:00,2018-04-06 20:30:00,Introduction & Ice Breakers,Chumash
Friday: April 6,2018-04-06 20:30:00,2018-04-06 21:15:00,Welcome Panels,Chumash
Friday: April 6,2018-04-06 21:30:00,2018-04-06 22:30:00,Org-get-to-know,Chumash
Friday: April 6,2018-04-06 22:45:00,2018-04-06 23:15:00,Luggage check out,Chumash
Saturday: April 7,2018-04-07 00:00:01,,Lights Out,
Saturday: April 7,2018-04-07 08:30:00,2018-04-07 09:45:00,Breakfast,Chumash
Saturday: April 7,2018-04-07 10:00:00,2018-04-07 12:00:00,College Tours,
Saturday: April 7,2018-04-07 12:15:00,2018-04-07 15:30:00,Downtown Tours,
Saturday: April 7,2018-04-07 16:00:00,2018-04-07 17:00:00,Plaza Palooza,
Saturday: April 7,2018-04-07 17:15:00,2018-04-07 18:30:00,Club Breakout,
Saturday: April 7,2018-04-07 18:50:00,2018-04-07 20:20:00,Dinner,
Saturday: April 7,2018-04-07 20:30:00,2018-04-07 22:00:00,Performances,
Saturday: April 7,2018-04-07 22:30:00,2018-04-08 01:00:00,UU Power Hour,
Sunday: April 8,2018-04-08 01:00:00,,Lights Out,
Sunday: April 8,2018-04-08 10:00:00,2018-04-08 12:00:00,Breakfast,
Sunday: April 8,2018-04-08 12:00:00,,Thank you for coming!,
Sunday: April 8,2018-04-08 13:00:00,2018-04-08 14:00:00,Housing Tours (Optional),
